Complexity,Loss,Equation
1,0.0011467609,"0.11201054"
2,0.0002993992,"sqrt(x1)"
3,6.005489e-5,"x1 ^ 0.46811914"
4,5.9431553e-5,"sin(x1 ^ 0.46749073)"
5,5.7404355e-5,"x1 ^ (x1 + 0.45627165)"
6,5.6985395e-5,"x1 ^ sin(x1 + 0.47530073)"
8,3.5336092e-5,"(-0.00964653 + sqrt(x1 * 0.1355609)) ^ 0.5916009"
10,2.567938e-5,"((x1 * -6.51391) + -0.042837333) - (-2.2945185 * sqrt(x1))"
11,2.4727757e-5,"((x1 * -7.447913) + -0.049303483) - (sin(sqrt(x1)) * -2.4593499)"
12,2.4598972e-5,"(-0.045415852 - sin(sin(sqrt(x1)) * -2.3441107)) + (-6.504932 * x1)"
13,2.45723e-5,"(x1 * -6.504425) + sin(sin(-0.045405567 - (sqrt(sin(x1)) * -2.3439121)))"
15,2.4535473e-5,"sin(sin((-0.045982767 - (sqrt(sin(x1)) * -2.348629)) + x0)) + (x1 * -6.5033965)"
